customer_id,customer_first_name,customer_last_name,customer_email,customer_phone,customer_street,customer_city,customer_state,customer_postal_code,customer_country,customer_registration_date,order_id,order_date,order_status,order_currency,order_subtotal,tax_amount,shipping_cost,discount_amount,order_total,order_item_id,product_id,sku,product_name,category_name,product_weight_kg,unit_price,quantity,line_discount,line_total,supplier_id,supplier_name,supplier_country,supplier_rating,supplier_price,supplier_lead_time_days,warehouse_id,warehouse_name,warehouse_city,warehouse_state,warehouse_country,warehouse_capacity,inventory_quantity_available,inventory_quantity_reserved,reorder_level,payment_id,payment_method,payment_status,payment_transaction_reference,payment_date,shipment_id,tracking_number,logistics_provider_id,logistics_provider_name,shipment_status,dispatch_date,expected_delivery_date,actual_delivery_date,tracking_location,tracking_event_time,return_id,return_status,return_reason,return_quantity,return_item_condition,refund_amount,price_country,dynamic_price,price_effective_from,inventory_transaction_type,inventory_transaction_quantity,inventory_transaction_date
CUST00120,Arjun,Sharma,arjun.sharma120@example.com,659615083895,819 Park Road,Abu Dhabi,Abu Dhabi,00000,UAE,2023-11-21,ORD000001,2025-05-21 19:41:00,DELIVERED,AED,29274.84,1463.74,156.6,0.0,30895.18,ITEM0000001,PROD00017,SKU-000017,Smartwatch 1,Electronics,6.25,5081.49,4,1016.3,19309.66,SUP005,FitPro Manufacturing,India,4.5,3574.73,16,WH008,US West Warehouse,Los Angeles,California,USA,70000,407,30,20,PAY000001,CARD,SUCCESS,TXN-6120465592,2025-05-21 20:26:00,SHP000001,TRK342698448381,LOG002,FedEx,DELAYED,2025-05-23 19:41:00,2025-05-29 19:41:00,2025-05-31 19:41:00,Transit Center,2025-05-28 08:41:00,,,,,,,UAE,5186.37,2025-05-21,ADJUSTMENT,27,2025-05-23 07:41:00
CUST00120,Arjun,Sharma,arjun.sharma120@example.com,659615083895,819 Park Road,Abu Dhabi,Abu Dhabi,00000,UAE,2023-11-21,ORD000001,2025-05-21 19:41:00,DELIVERED,AED,29274.84,1463.74,156.6,0.0,30895.18,ITEM0000002,PROD00012,SKU-000012,Wireless Mouse 4,Electronics,1.17,1774.38,2,0.0,3548.76,SUP008,Desert Trading LLC,UAE,4.1,1261.6,5,WH008,US West Warehouse,Los Angeles,California,USA,70000,310,31,10,PAY000001,CARD,SUCCESS,TXN-6120465592,2025-05-21 20:26:00,SHP000001,TRK342698448381,LOG002,FedEx,DELAYED,2025-05-23 19:41:00,2025-05-29 19:41:00,2025-05-31 19:41:00,Los Angeles,2025-05-28 06:41:00,,,,,,,UAE,1819.76,2025-05-21,TRANSFER_OUT,-2,2025-05-24 10:41:00
CUST00120,Arjun,Sharma,arjun.sharma120@example.com,659615083895,819 Park Road,Abu Dhabi,Abu Dhabi,00000,UAE,2023-11-21,ORD000001,2025-05-21 19:41:00,DELIVERED,AED,29274.84,1463.74,156.6,0.0,30895.18,ITEM0000003,PROD00027,SKU-000027,T-Shirt 3,Fashion,9.02,1556.82,1,77.84,1478.98,SUP001,NovaTech Supplies,India,4.6,1206.62,18,WH008,US West Warehouse,Los Angeles,California,USA,70000,182,10,20,PAY000001,CARD,SUCCESS,TXN-6120465592,2025-05-21 20:26:00,SHP000001,TRK342698448381,LOG002,FedEx,DELAYED,2025-05-23 19:41:00,2025-05-29 19:41:00,2025-05-31 19:41:00,Los Angeles,2025-05-24 18:41:00,,,,,,,UAE,1566.55,2025-05-21,ADJUSTMENT,5,2025-05-22 03:41:00
CUST00120,Arjun,Sharma,arjun.sharma120@example.com,659615083895,819 Park Road,Abu Dhabi,Abu Dhabi,00000,UAE,2023-11-21,ORD000001,2025-05-21 19:41:00,DELIVERED,AED,29274.84,1463.74,156.6,0.0,30895.18,ITEM0000004,PROD00015,SKU-000015,Mechanical Keyboard 3,Electronics,4.39,5486.05,1,548.61,4937.44,SUP004,Urban Fashion Co,UK,4.2,3324.14,8,WH008,US West Warehouse,Los Angeles,California,USA,70000,132,21,30,PAY000001,CARD,SUCCESS,TXN-6120465592,2025-05-21 20:26:00,SHP000001,TRK342698448381,LOG002,FedEx,DELAYED,2025-05-23 19:41:00,2025-05-29 19:41:00,2025-05-31 19:41:00,Regional Hub,2025-05-24 17:41:00,,,,,,,UAE,5557.33,2025-05-21,SALE,-1,2025-05-24 18:41:00
CUST00746,Lucas,Mehta,lucas.mehta746@example.com,9719774984836,463 Main Street,Berlin,Berlin,10115,Germany,2025-10-22,ORD000002,2024-10-26 22:28:00,DELIVERED,EUR,5368.89,966.4,32.24,161.07,6206.46,ITEM0000005,PROD00032,SKU-000032,Jeans 4,Fashion,11.78,442.75,3,0.0,1328.25,SUP008,Desert Trading LLC,UAE,4.1,285.52,12,WH003,West India Fulfilment Center,Mumbai,Maharashtra,India,60000,43,17,30,PAY000002,CARD,SUCCESS,TXN-8074210432,2024-10-26 23:11:00,SHP000002,TRK322688020258,LOG001,DHL,DELIVERED,2024-10-29 22:28:00,2024-11-03 22:28:00,2024-11-02 22:28:00,Regional Hub,2024-10-30 01:28:00,,,,,,,Germany,452.56,2024-10-26,TRANSFER_OUT,-3,2024-10-28 20:28:00
CUST00746,Lucas,Mehta,lucas.mehta746@example.com,9719774984836,463 Main Street,Berlin,Berlin,10115,Germany,2025-10-22,ORD000002,2024-10-26 22:28:00,DELIVERED,EUR,5368.89,966.4,32.24,161.07,6206.46,ITEM0000006,PROD00032,SKU-000032,Jeans 4,Fashion,11.78,456.4,5,0.0,2282.0,SUP003,Prime Electronics,Singapore,4.8,285.52,18,WH003,West India Fulfilment Center,Mumbai,Maharashtra,India,60000,70,27,50,PAY000002,CARD,SUCCESS,TXN-8074210432,2024-10-26 23:11:00,SHP000002,TRK322688020258,LOG001,DHL,DELIVERED,2024-10-29 22:28:00,2024-11-03 22:28:00,2024-11-02 22:28:00,Berlin,2024-11-02 17:28:00,,,,,,,Germany,471.32,2024-10-26,TRANSFER_OUT,-5,2024-10-29 08:28:00
CUST00746,Lucas,Mehta,lucas.mehta746@example.com,9719774984836,463 Main Street,Berlin,Berlin,10115,Germany,2025-10-22,ORD000002,2024-10-26 22:28:00,DELIVERED,EUR,5368.89,966.4,32.24,161.07,6206.46,ITEM0000007,PROD00067,SKU-000067,Football 3,Sports,11.03,1113.64,1,0.0,1113.64,SUP006,HomeEase Appliances,Germany,4.3,709.4,8,WH003,West India Fulfilment Center,Mumbai,Maharashtra,India,60000,367,33,10,PAY000002,CARD,SUCCESS,TXN-8074210432,2024-10-26 23:11:00,SHP000002,TRK322688020258,LOG001,DHL,DELIVERED,2024-10-29 22:28:00,2024-11-03 22:28:00,2024-11-02 22:28:00,Transit Center,2024-11-02 17:28:00,,,,,,,Germany,1102.94,2024-10-26,SALE,-1,2024-10-28 17:28:00
CUST00746,Lucas,Mehta,lucas.mehta746@example.com,9719774984836,463 Main Street,Berlin,Berlin,10115,Germany,2025-10-22,ORD000002,2024-10-26 22:28:00,DELIVERED,EUR,5368.89,966.4,32.24,161.07,6206.46,ITEM0000008,PROD00022,SKU-000022,Headphones 2,Electronics,5.66,645.0,1,0.0,645.0,SUP007,BookSource International,USA,4.7,386.34,14,WH003,West India Fulfilment Center,Mumbai,Maharashtra,India,60000,338,9,10,PAY000002,CARD,SUCCESS,TXN-8074210432,2024-10-26 23:11:00,SHP000002,TRK322688020258,LOG001,DHL,DELIVERED,2024-10-29 22:28:00,2024-11-03 22:28:00,2024-11-02 22:28:00,Berlin,2024-11-03 16:28:00,,,,,,,Germany,635.02,2024-10-26,ADJUSTMENT,38,2024-10-29 03:28:00
CUST00309,Olivia,Mehta,olivia.mehta309@example.com,448616884203,189 Central Avenue,Manchester,England,M11AE,UK,2025-08-27,ORD000003,2024-03-27 01:34:00,DELIVERED,GBP,1520.37,273.67,39.07,0.0,1833.11,ITEM0000009,PROD00070,SKU-000070,Yoga Mat 2,Sports,4.8,561.61,2,56.16,1067.06,SUP005,FitPro Manufacturing,India,4.5,287.51,11,WH009,European Distribution Center,Berlin,Berlin,Germany,50000,371,27,10,PAY000003,COD,SUCCESS,TXN-1917982759,2024-03-27 02:40:00,SHP000003,TRK475901275250,LOG003,Blue Dart,DELIVERED,2024-03-28 01:34:00,2024-03-30 01:34:00,2024-03-29 01:34:00,Manchester,2024-03-31 22:34:00,,,,,,,UK,553.2,2024-03-27,SALE,-2,2024-03-29 00:34:00
CUST00309,Olivia,Mehta,olivia.mehta309@example.com,448616884203,189 Central Avenue,Manchester,England,M11AE,UK,2025-08-27,ORD000003,2024-03-27 01:34:00,DELIVERED,GBP,1520.37,273.67,39.07,0.0,1833.11,ITEM0000010,PROD00065,SKU-000065,Football 1,Sports,3.84,453.31,1,0.0,453.31,SUP006,HomeEase Appliances,Germany,4.3,361.5,9,WH009,European Distribution Center,Berlin,Berlin,Germany,50000,229,19,10,PAY000003,COD,SUCCESS,TXN-1917982759,2024-03-27 02:40:00,SHP000003,TRK475901275250,LOG003,Blue Dart,DELIVERED,2024-03-28 01:34:00,2024-03-30 01:34:00,2024-03-29 01:34:00,Berlin,2024-03-29 20:34:00,,,,,,,UK,447.76,2024-03-27,TRANSFER_OUT,-1,2024-03-28 20:34:00
